lon	lat
-71.863025	41.076655
-71.863905	41.077242
-71.865959	41.077242
-71.867426	41.076362
-71.868012	41.076362
-71.869479	41.074895
-71.874466	41.074602
-71.875639	41.075482
-71.889134	41.075482
-71.890601	41.076069
-71.892361	41.076362
-71.892654	41.076949
-71.894414	41.077829
-71.895294	41.077829
-71.895588	41.079002
-71.896174	41.079589
-71.897641	41.080762
-71.898228	41.081642
-71.898228	41.082522
-71.897054	41.083989
-71.896761	41.084282
-71.896761	41.085163
-71.897348	41.086043
-71.898521	41.086336
-71.899401	41.087216
-71.899694	41.087216
-71.902041	41.087216
-71.902628	41.086629
-71.903508	41.086336
-71.906148	41.086043
-71.906442	41.085749
-71.908202	41.085456
-71.910549	41.083109
-71.911429	41.083109
-71.912309	41.082229
-71.914069	41.082229
-71.914949	41.081349
-71.919056	41.081349
-71.919936	41.080469
-71.922283	41.080469
-71.923163	41.079882
-71.924923	41.079589
-71.925216	41.079295
-71.926683	41.078709
-71.927563	41.078122
-71.935484	41.078122
-71.93695	41.076655
-71.937537	41.075482
-71.93607	41.074015
-71.934897	41.073722
-71.933724	41.072842
-71.93255	41.072842
-71.931963	41.072255
-71.929323	41.072255
-71.928737	41.071375
-71.92815	41.071375
-71.926976	41.070495
-71.925216	41.070495
-71.92463	41.069615
-71.921989	41.069615
-71.921109	41.068735
-71.919643	41.068735
-71.917882	41.067268
-71.917002	41.066975
-71.917296	41.066388
-71.916122	41.065508
-71.916122	41.064921
-71.915829	41.064041
-71.915242	41.063161
-71.914362	41.062574
-71.912602	41.061988
-71.912309	41.061107
-71.911722	41.060521
-71.910549	41.060227
-71.909669	41.059641
-71.908788	41.059641
-71.907908	41.058761
-71.907908	41.057881
-71.907028	41.057001
-71.907322	41.051427
-71.908202	41.050253
-71.908202	41.049667
-71.909082	41.049667
-71.909669	41.048787
-71.910549	41.048787
-71.911429	41.047907
-71.913189	41.0482
-71.914069	41.048787
-71.915536	41.048787
-71.917296	41.050547
-71.919056	41.050547
-71.919643	41.051427
-71.923163	41.051427
-71.92375	41.052307
-71.92463	41.052307
-71.925803	41.053187
-71.92551	41.054067
-71.926683	41.057001
-71.92727	41.057294
-71.927563	41.057294
-71.928443	41.057587
-71.929323	41.058467
-71.931963	41.059641
-71.933137	41.061694
-71.933137	41.062281
-71.934017	41.063161
-71.93431	41.064334
-71.93519	41.065214
-71.935777	41.066681
-71.936657	41.067561
-71.937244	41.068441
-71.937244	41.069028
-71.938124	41.069908
-71.938124	41.071375
-71.937244	41.072255
-71.93695	41.073135
-71.938711	41.074895
-71.943111	41.074602
-71.943991	41.074015
-71.947511	41.073722
-71.948098	41.073135
-71.951325	41.072842
-71.952498	41.072255
-71.954552	41.072255
-71.955725	41.071375
-71.959245	41.071375
-71.959832	41.070788
-71.960125	41.070201
-71.961592	41.069028
-71.961299	41.063748
-71.961006	41.063161
-71.960419	41.062281
-71.960419	41.061107
-71.959539	41.060521
-71.959539	41.059641
-71.958952	41.058761
-71.958952	41.057881
-71.957192	41.05612
-71.957192	41.054654
-71.956605	41.053774
-71.956019	41.05348
-71.956605	41.047613
-71.957192	41.046733
-71.957192	41.046146
-71.959832	41.0438
-71.960712	41.0438
-71.961299	41.043213
-71.962179	41.043213
-71.962766	41.042333
-71.964232	41.042039
-71.964526	41.041453
-71.968339	41.041453
-71.973033	41.041453
-71.973913	41.042039
-71.974793	41.042333
-71.97978	41.047026
-71.98242	41.04732
-71.983007	41.047907
-71.989168	41.047907
-71.990048	41.04732
-71.991221	41.04732
-71.992101	41.04644
-71.993275	41.046146
-71.994155	41.044386
-71.997088	41.041453
-71.998848	41.041453
NA NA
-71.999435	41.318379
-71.999435	41.318086
-71.999142	41.317206
-71.998555	41.317206
-71.997382	41.318086
-71.995915	41.318086
-71.993861	41.319259
-71.992394	41.320433
-71.991808	41.320726
-71.991514	41.320433
-71.991514	41.319553
-71.990928	41.318379
-71.990928	41.315739
-71.990634	41.315446
-71.990341	41.314859
-71.989754	41.314859
-71.988288	41.314859
-71.987701	41.315152
-71.986527	41.317206
-71.986234	41.320139
-71.985061	41.321019
-71.984767	41.323073
-71.983887	41.323953
-71.983594	41.324833
-71.983887	41.326593
-71.984474	41.32718
-71.986234	41.32894
-71.987407	41.329233
-71.988288	41.330407
-71.989754	41.3307
-71.989754	41.331874
-71.990634	41.333047
-71.990048	41.333634
-71.988581	41.3351
-71.987994	41.335394
-71.986821	41.334807
-71.985941	41.333927
-71.985354	41.333927
-71.981834	41.335981
-71.98154	41.337447
-71.978313	41.337741
-71.97626	41.338327
-71.973326	41.341554
-71.973033	41.346541
-71.97098	41.348595
-71.970393	41.350062
-71.969513	41.350942
-71.967459	41.348888
-71.968633	41.346541
-71.968633	41.346248
-71.967166	41.345075
-71.966579	41.344781
-71.964526	41.344781
-71.963352	41.345075
-71.963059	41.345368
-71.962766	41.346541
-71.962472	41.347128
-71.961299	41.347421
-71.960712	41.348008
-71.959539	41.348301
-71.959245	41.348008
-71.960712	41.346248
-71.960712	41.345368
-71.960125	41.344194
-71.958952	41.340381
-71.958952	41.338914
-71.959539	41.338327
-71.959539	41.338034
-71.958365	41.336861
-71.957779	41.336567
-71.956605	41.336567
-71.956019	41.336567
-71.955138	41.338034
-71.954258	41.337741
-71.953965	41.337447
-71.953378	41.337154
-71.951912	41.337447
-71.951618	41.336861
-71.951618	41.336567
-71.953378	41.33422
-71.953085	41.332754
-71.952792	41.332167
-71.951618	41.33158
-71.949565	41.33246
-71.948391	41.333634
-71.947805	41.3351
-71.947218	41.335981
-71.946338	41.335981
-71.946338	41.334514
-71.945751	41.333927
-71.943991	41.333927
-71.943111	41.334514
-71.942524	41.334807
-71.941938	41.334807
-71.941351	41.334807
-71.940471	41.335394
-71.940177	41.335687
-71.939591	41.335687
-71.938417	41.336274
-71.937244	41.338034
-71.937831	41.338914
-71.937831	41.339501
-71.937244	41.339794
-71.936657	41.339794
-71.93519	41.338327
-71.93519	41.338034
-71.935484	41.337154
-71.935484	41.336274
-71.934897	41.335687
-71.93431	41.335687
-71.933724	41.335394
-71.933724	41.333927
-71.933137	41.333047
-71.93167	41.333047
-71.93079	41.333634
-71.929323	41.331874
-71.92903	41.33158
-71.927857	41.33158
-71.926976	41.33246
-71.925216	41.332167
-71.92463	41.332167
-71.92463	41.3307
-71.92463	41.32982
-71.924043	41.32894
-71.923163	41.32894
-71.922576	41.328353
-71.922283	41.327473
-71.921696	41.326887
-71.921109	41.326593
-71.919643	41.326593
-71.918176	41.32806
-71.917296	41.32894
-71.916416	41.3307
-71.916416	41.333047
-71.916122	41.333634
-71.915536	41.33422
-71.915536	41.340381
-71.914656	41.341261
-71.914656	41.342728
-71.915242	41.343021
-71.915829	41.343314
-71.917882	41.343314
-71.919936	41.343901
-71.920229	41.344488
-71.919936	41.344781
-71.917589	41.345075
-71.915536	41.346248
-71.914949	41.346541
-71.914362	41.346541
-71.913775	41.345661
-71.913775	41.343901
-71.913482	41.343608
-71.913189	41.343314
-71.911135	41.343021
-71.910255	41.343608
-71.908788	41.344194
-71.906442	41.346541
-71.906442	41.347421
-71.905562	41.348301
-71.904682	41.347128
-71.904682	41.344194
-71.905562	41.343901
-71.909962	41.339794
-71.909962	41.334514
-71.910549	41.333927
-71.909375	41.332754
-71.908202	41.3307
-71.908202	41.32982
-71.907615	41.32894
-71.907028	41.327767
-71.906442	41.32718
-71.905562	41.32718
-71.904975	41.326593
-71.904388	41.326887
-71.902921	41.328647
-71.902921	41.330407
-71.902921	41.330994
-71.902335	41.33158
-71.901455	41.33158
-71.899694	41.333047
-71.899401	41.33334
-71.896468	41.33334
-71.895588	41.333927
-71.894414	41.333927
-71.892361	41.3351
-71.891774	41.335687
-71.890601	41.336567
-71.890014	41.336567
-71.889427	41.336861
-71.885907	41.340381
-71.885027	41.341848
-71.884733	41.343608
-71.884147	41.344194
-71.883853	41.345368
-71.883853	41.348008
-71.88444	41.348888
-71.883267	41.349768
-71.88268	41.349768
-71.8818	41.350355
-71.881213	41.350062
-71.881507	41.349475
-71.882387	41.347715
-71.882387	41.345075
-71.882387	41.344194
-71.8818	41.343608
-71.880626	41.340968
-71.88092	41.340381
-71.880626	41.338034
-71.8774	41.3351
-71.876519	41.334807
-71.875639	41.334807
-71.875053	41.335394
-71.875053	41.335981
-71.874466	41.336567
-71.871826	41.336567
-71.871239	41.33422
-71.869772	41.333927
-71.869479	41.333634
-71.868892	41.33334
-71.868012	41.33334
-71.865959	41.334514
-71.865665	41.334514
-71.864199	41.333927
-71.864492	41.33334
-71.865959	41.332754
-71.868306	41.330407
-71.869186	41.32982
-71.869479	41.32982
-71.868892	41.32982
-71.868892	41.329233
-71.869772	41.32806
-71.869186	41.32718
-71.864785	41.32718
-71.864199	41.327473
-71.863025	41.328353
-71.862438	41.327767
-71.862145	41.32454
-71.861558	41.323366
-71.861558	41.322193
-71.860678	41.321606
-71.858918	41.321606
-71.857745	41.321606
-71.857451	41.3219
-71.856865	41.32278
-71.856278	41.323953
-71.855691	41.324833
-71.854811	41.32542
-71.854225	41.325713
-71.853638	41.3263
-71.852171	41.326593
-71.850704	41.32806
-71.850118	41.32806
-71.849238	41.328647
-71.848064	41.329233
-71.847184	41.32982
-71.846304	41.330113
-71.845131	41.331287
-71.844251	41.33158
-71.84249	41.332754
-71.84161	41.33334
-71.84073	41.333927
-71.83985	41.33422
-71.838677	41.3351
-71.837503	41.335687
-71.836623	41.336274
-71.83545	41.336567
-71.83281	41.339501
-71.832223	41.339794
-71.831636	41.339794
-71.83105	41.340088
-71.830463	41.340674
-71.830463	41.341848
-71.830756	41.345368
-71.83193	41.346835
-71.832223	41.348595
-71.83281	41.349475
-71.832223	41.351528
-71.83105	41.351528
-71.830463	41.351235
-71.829583	41.350648
-71.829289	41.349475
-71.828703	41.348595
-71.827236	41.347715
-71.826943	41.346248
-71.827236	41.345368
-71.827823	41.344781
-71.828116	41.343608
-71.828116	41.342728
-71.826356	41.342141
-71.825769	41.341848
-71.825476	41.340674
-71.826356	41.339207
-71.826649	41.337447
-71.827529	41.337154
-71.828996	41.337154
-71.829583	41.336861
-71.830463	41.335687
-71.83369	41.335687
-71.835743	41.334514
-71.836623	41.333927
-71.83721	41.333927
-71.838383	41.332754
-71.83897	41.332167
-71.840144	41.332167
-71.84073	41.332167
-71.842197	41.3307
-71.84337	41.330407
-71.844837	41.329233
-71.845717	41.32894
-71.846597	41.327767
-71.846597	41.326887
-71.847184	41.3263
-71.847477	41.325713
-71.846891	41.324833
-71.845424	41.324833
-71.844837	41.32454
-71.844837	41.323953
-71.845424	41.323953
-71.846011	41.323953
-71.847184	41.323953
-71.848651	41.323073
-71.849531	41.323073
-71.850411	41.32278
-71.850998	41.321606
-71.850704	41.320726
-71.854811	41.320726
-71.855691	41.319846
-71.855691	41.315446
-71.856278	41.315446
-71.858038	41.313979
-71.858038	41.311632
-71.859798	41.313099
-71.870946	41.313099
-71.871532	41.312219
-71.873293	41.312219
-71.873879	41.311632
-71.875933	41.311339
-71.876519	41.310752
-71.877986	41.310752
-71.877986	41.311339
-71.878866	41.312219
-71.88004	41.312219
-71.881507	41.312219
-71.882387	41.311632
-71.882973	41.311632
-71.883267	41.311339
-71.885027	41.309579
-71.884733	41.308699
-71.886494	41.307232
-71.886787	41.305765
-71.8862	41.304885
-71.885613	41.304592
-71.881507	41.304592
-71.880333	41.305472
-71.879746	41.305472
-71.87916	41.306058
-71.878573	41.306352
-71.877693	41.306938
-71.876519	41.307525
-71.875933	41.307819
-71.875346	41.308112
-71.874173	41.308405
-71.872706	41.308992
-71.871239	41.308992
-71.870359	41.309872
-71.869479	41.309872
-71.863612	41.309579
-71.863025	41.308992
-71.860972	41.308992
-71.860092	41.308699
-71.859505	41.308112
-71.859505	41.307525
-71.859212	41.306645
-71.858918	41.302245
-71.858625	41.301658
-71.855985	41.301365
-71.854518	41.301658
-71.853931	41.301951
-71.853931	41.302831
-71.853344	41.303712
-71.851291	41.306058
-71.851291	41.306645
-71.848944	41.308992
-71.848357	41.308992
-71.847477	41.309579
-71.845717	41.309872
-71.844837	41.310752
-71.843664	41.310752
-71.84249	41.311339
-71.840437	41.311632
-71.83985	41.312219
-71.839557	41.312219
-71.83721	41.312512
-71.83633	41.313099
-71.83369	41.313099
-71.832516	41.313979
-71.830463	41.313979
-71.829583	41.314859
-71.826943	41.314859
-71.825476	41.315446
-71.823422	41.315446
-71.821956	41.316326
-71.821369	41.316326
-71.819902	41.316619
-71.818729	41.317206
-71.816382	41.317499
-71.815208	41.318086
-71.814035	41.318086
-71.812862	41.318966
-71.810515	41.318966
-71.809635	41.319846
-71.806114	41.319846
-71.805234	41.320433
-71.803474	41.320726
-71.802007	41.321606
-71.799954	41.321313
-71.798487	41.322193
-71.796727	41.322193
-71.793794	41.322193
-71.79262	41.322193
-71.791447	41.323073
-71.790273	41.323073
-71.787926	41.323073
-71.78646	41.323953
-71.782646	41.323953
-71.781766	41.32454
-71.777659	41.324833
-71.776779	41.32542
-71.775606	41.32542
-71.771499	41.325713
-71.770619	41.3263
-71.769738	41.326593
-71.767098	41.3263
-71.766805	41.326593
-71.763871	41.328647
-71.763285	41.328647
-71.763285	41.327473
-71.762405	41.326593
-71.760938	41.326593
-71.760351	41.3263
-71.760351	41.326006
-71.758004	41.325713
-71.756831	41.324833
-71.755657	41.32454
-71.754484	41.323953
-71.751844	41.323953
-71.75067	41.324833
-71.749204	41.324833
-71.746857	41.3263
-71.745097	41.326593
-71.744217	41.32718
-71.74363	41.32718
-71.742457	41.327473
-71.741576	41.32806
-71.73747	41.32806
-71.737176	41.328647
-71.736589	41.32894
-71.730722	41.32894
-71.729842	41.32982
-71.720748	41.32982
-71.720455	41.32982
-71.719575	41.32982
-71.718695	41.330407
-71.718695	41.3307
-71.718695	41.33158
-71.720162	41.333634
-71.720455	41.333927
-71.719868	41.333927
-71.718401	41.33246
-71.718108	41.331287
